iter	Passed	Remaining
406	5631	8204
407	5644	8189
408	5658	8176
409	5670	8160
410	5683	8145
411	5698	8132
412	5712	8118
413	5724	8102
414	5737	8088
415	5750	8072
416	5764	8059
417	5777	8044
418	5792	8031
419	5805	8017
420	5818	8001
421	5830	7985
422	5843	7970
423	5855	7955
424	5868	7939
425	5881	7925
426	5896	7912
427	5910	7898
428	5924	7885
429	5937	7870
430	5950	7856
431	5963	7841
432	5976	7825
433	5989	7811
434	6002	7796
435	6014	7779
436	6026	7764
437	6039	7749
438	6052	7734
439	6065	7719
440	6077	7703
441	6089	7688
442	6103	7673
443	6116	7659
444	6132	7647
445	6145	7633
446	6157	7617
447	6171	7604
448	6186	7591
449	6199	7576
450	6212	7562
451	6225	7547
452	6238	7533
453	6252	7519
454	6265	7504
455	6278	7490
456	6291	7475
457	6304	7460
458	6316	7444
459	6329	7430
460	6344	7417
461	6357	7403
462	6370	7388
463	6383	7374
464	6397	7360
465	6413	7349
466	6429	7338
467	6445	7326
468	6458	7312
469	6471	7297
470	6483	7281
471	6496	7266
472	6509	7252
473	6523	7238
474	6539	7228
475	6552	7213
476	6564	7197
477	6577	7182
478	6592	7170
479	6604	7154
480	6617	7140
481	6630	7126
482	6643	7111
483	6656	7096
484	6668	7080
485	6680	7065
486	6693	7051
487	6706	7036
488	6719	7021
489	6732	7007
490	6747	6994
491	6760	6980
492	6773	6966
493	6786	6950
494	6799	6936
495	6812	6922
496	6824	6907
497	6836	6891
498	6850	6877
499	6864	6864
500	6878	6850
501	6890	6836
502	6905	6822
503	6918	6809
504	6932	6795
505	6947	6782
506	7007	6814
507	7022	6801
508	7034	6785
509	7046	6770
510	7059	6756
511	7071	6740
512	7085	6726
513	7098	6711
514	7110	6696
515	7123	6681
516	7135	6666
517	7147	6650
518	7163	6638
519	7177	6624
520	7189	6610
521	7202	6595
522	7215	6580
523	7228	6566
524	7240	6551
525	7253	6536
526	7264	6520
527	7276	6504
528	7288	6489
529	7301	6474
530	7313	6459
531	7327	6445
532	7339	6430
533	7352	6416
534	7368	6404
535	7381	6389
536	7394	6375
537	7407	6360
538	7420	6346
539	7433	6332
540	7446	6317
541	7459	6303
542	7470	6287
543	7483	6272
544	7495	6257
545	7508	6243
546	7520	6228
547	7533	6213
548	7545	6198
549	7557	6183
550	7570	6169
551	7584	6155
552	7598	6142
553	7611	6128
554	7625	6113
555	7637	6098
556	7650	6084
557	7662	6069
558	7674	6054
559	7687	6040
560	7699	6025
561	7713	6011
562	7725	5996
563	7737	5981
564	7749	5966
565	7764	5953
566	7779	5940
567	7791	5925
568	7804	5911
569	7817	5897
570	7829	5882
571	7842	5867
572	7854	5853
573	7867	5839
574	7880	5824
575	7892	5810
576	7907	5796
577	7920	5782
578	7932	5767
579	7945	5753
580	7958	5739
581	7974	5727
582	7988	5714
583	8002	5700
584	8016	5686
585	8029	5672
586	8041	5657
587	8053	5643
588	8066	5628
589	8080	5615
590	8093	5601
591	8105	5586
592	8119	5572
593	8132	5558
594	8145	5544
595	8157	5529
596	8170	5515
597	8186	5502
598	8200	5489
599	8212	5474
600	8225	5460
601	8236	5445
602	8249	5430
603	8261	5416
604	8273	5401
605	8285	5386
606	8299	5373
607	8312	5359
608	8326	5345
609	8339	5331
610	8350	5316
611	8364	5302
612	8378	5289
613	8393	5276
614	8407	5263
615	8420	5249
616	8433	5235
617	8447	5221
618	8460	5207
619	8473	5193
620	8486	5179
621	8498	5164
622	8510	5149
623	8524	5136
624	8537	5122
625	8549	5107
626	8564	5094
627	8582	5084
628	8596	5070
629	8609	5056
630	8621	5041
631	8634	5027
632	8647	5013
633	8659	4998
634	8671	4984
635	8683	4969
636	8695	4955
637	8708	4940
638	8721	4927
639	8734	4913
640	8748	4899
641	8760	4885
642	8773	4871
643	8789	4858
644	8848	4870
645	8863	4857
646	8875	4842
647	8888	4828
648	8900	4813
649	8913	4799
650	8925	4784
651	8937	4770
652	8951	4756
653	8964	4742
654	8979	4729
655	8993	4716
656	9007	4702
657	9019	4687
658	9031	4673
