iter	Logloss
0	0.6915830904
1	0.690500795
2	0.6890915673
3	0.6878205588
4	0.686639294
5	0.6856012245
6	0.6842235945
7	0.6830366029
8	0.6815977554
9	0.6803764683
10	0.6790256071
11	0.6777777673
12	0.6763429256
13	0.6749451087
14	0.6735254541
15	0.6728149192
16	0.671528648
17	0.6701921607
18	0.6690413295
19	0.6677917267
20	0.6665118072
21	0.6652495711
22	0.6645636871
23	0.6634243996
24	0.6620901336
25	0.6610816031
26	0.6598319128
27	0.6585295672
28	0.6573147981
29	0.6560969773
30	0.6554385601
31	0.6547825565
32	0.6537080943
33	0.6530583911
34	0.6518276439
35	0.6506427874
36	0.6492948559
37	0.6484029106
38	0.6474520375
39	0.6462362379
40	0.6451617147
41	0.6441723374
42	0.6432398557
43	0.6421621554
44	0.6408603317
45	0.639841813
46	0.638607195
47	0.6376975397
48	0.6367021944
49	0.6358017892
50	0.6345576135
51	0.6336044409
52	0.6325392001
53	0.6319523845
54	0.6311313234
55	0.6299236149
56	0.6288330638
57	0.6278841822
58	0.6269274255
59	0.6259568984
60	0.6248495876
61	0.6236841799
62	0.6224551739
63	0.6212874047
64	0.6201672544
65	0.6190792896
66	0.6180504743
67	0.6168802867
68	0.6157024462
69	0.6145122457
70	0.6136852451
71	0.61288824
72	0.6117346739
73	0.6106527429
74	0.6097897949
75	0.6087398826
76	0.6077001777
77	0.6068554336
78	0.6057033129
79	0.6046631008
80	0.6041529798
81	0.6030184514
82	0.6024523843
83	0.6016221893
84	0.600571776
85	0.5998357462
86	0.5991395215
87	0.5982853678
88	0.5972722656
89	0.5967843962
90	0.5960454336
91	0.5949719908
92	0.5939262995
93	0.5931985756
94	0.5924690696
95	0.5917481956
96	0.5907044642
97	0.5896737943
98	0.5890109593
99	0.5880362781
100	0.586981577
101	0.586156632
102	0.5854496244
103	0.5849952468
104	0.5839899655
105	0.5831113668
106	0.5820988292
107	0.5812963348
108	0.5808529162
109	0.5802229965
110	0.5793599975
111	0.5783698136
112	0.5774687559
113	0.5764571793
114	0.5755701715
115	0.5747213476
116	0.5738434367
117	0.572879674
118	0.5720890792
119	0.5711447971
120	0.5702169619
121	0.5695283944
122	0.5688636307
123	0.5679509464
124	0.5675427278
125	0.5666974274
126	0.5658791168
127	0.5654768073
128	0.5648890352
129	0.5644584108
130	0.5635892155
131	0.562686528
132	0.5618609111
133	0.5610491417
134	0.5604834319
135	0.5598119158
136	0.558921091
137	0.5580503298
138	0.5572290041
139	0.5565955499
140	0.555915908
141	0.555070876
142	0.5542984113
143	0.5539273252
144	0.5530220969
145	0.5525905432
146	0.551843578
147	0.551278971
148	0.5506430636
149	0.5498990085
150	0.5492173347
151	0.5484530559
