iter	RMSE
0	0.588533238
1	0.5779488721
2	0.5680488198
3	0.5597279263
4	0.5517316878
5	0.544706756
6	0.5380586035
7	0.5321688411
8	0.5264916901
9	0.521622212
10	0.5171300623
11	0.5129844954
12	0.5094992408
13	0.5061024676
14	0.5029485196
15	0.5003679753
16	0.4982455817
17	0.4958785828
18	0.4937803627
19	0.4921417077
20	0.4905188921
21	0.488913522
22	0.4875501424
23	0.4861218671
24	0.4849471846
25	0.4838414779
26	0.4827263506
27	0.4817275475
28	0.480940364
29	0.4800489997
30	0.4792914626
31	0.478358102
32	0.4776832948
33	0.4768742169
34	0.4760031835
35	0.4754920653
36	0.4748359495
37	0.474307992
38	0.4735755228
39	0.4731985855
40	0.4727396898
41	0.4723144168
42	0.471682449
43	0.4712727926
44	0.4708173225
45	0.4702840172
46	0.4698947146
47	0.4695135331
48	0.4690372971
49	0.4686344453
50	0.4682733117
51	0.4679862906
52	0.4676210139
53	0.467275738
54	0.4669657605
55	0.4666973521
56	0.4663759318
57	0.4660153745
58	0.4657403031
59	0.4654337063
60	0.4652013488
61	0.4647968168
62	0.464544287
63	0.4641899318
64	0.4638979725
65	0.463631678
66	0.463381698
67	0.4631081925
68	0.4628608742
69	0.4625675942
70	0.4624080037
71	0.4621812886
72	0.4619837481
73	0.4617610581
74	0.4616005947
75	0.4612828842
76	0.4610534667
77	0.4609078159
78	0.4606368013
79	0.4604605203
80	0.4602747401
81	0.4600731347
82	0.4599401817
83	0.4597927142
84	0.4596109949
85	0.4593722655
86	0.4591910921
87	0.4590096095
88	0.458726613
89	0.4585499934
90	0.4584509755
91	0.4583008288
92	0.458138991
93	0.4579236243
94	0.4577298695
95	0.4575247254
96	0.4573560922
97	0.4572352518
98	0.4571129012
99	0.4569783831
100	0.4568770294
101	0.4566644898
102	0.4564686034
103	0.4562614658
104	0.4561713869
105	0.455906817
106	0.4557279826
107	0.4555039916
108	0.4553532171
109	0.4551000614
110	0.4549844361
111	0.4548501825
112	0.4547099374
113	0.4545346149
114	0.454255849
115	0.454054356
116	0.4539149539
117	0.4536946028
118	0.4535209203
119	0.4533102674
120	0.4531374949
121	0.4529947356
122	0.4528396212
123	0.452727777
124	0.4525650826
125	0.4524810616
126	0.4524177901
127	0.4522000702
128	0.4520646767
129	0.4518556352
130	0.4517782775
131	0.4516833058
132	0.4515361646
133	0.4514083415
134	0.451334052
135	0.4512302709
136	0.4511014393
137	0.4510393871
138	0.4509311357
139	0.4508499934
140	0.4506486001
141	0.4504452433
142	0.4503871579
143	0.4502023463
144	0.4500655943
145	0.4499075935
146	0.4497668014
147	0.4496656012
148	0.4495144953
149	0.4493479075
150	0.4491810034
151	0.4489600073
152	0.4487319675
153	0.4486347686
154	0.4485411046
155	0.448429746
156	0.4483166856
157	0.4481655253
158	0.4481330038
159	0.4480410585
160	0.4478651461
161	0.4477608012
162	0.4476271085
163	0.4474737877
164	0.4473231415
165	0.4472317083
166	0.4471259816
167	0.4470731481
168	0.4470487898
169	0.4468690766
170	0.4467358984
171	0.4465775729
172	0.4464432691
173	0.4463383613
174	0.4463198843
175	0.4462320652
176	0.4461340473
177	0.4459682016
178	0.4459185919
179	0.4456900425
180	0.4454788012
181	0.445363431
182	0.4452775176
183	0.4452013838
184	0.4449939699
185	0.4448797819
186	0.4447518263
187	0.4445884267
188	0.4444449229
189	0.4443858861
190	0.4442171722
191	0.4440613143
192	0.443965685
193	0.4438904472
194	0.4438325593
195	0.4438077937
196	0.4436448543
197	0.4434839153
198	0.4434592158
199	0.4432970409
200	0.4431178852
201	0.443064355
202	0.4428304063
203	0.4427402628
204	0.4425309584
205	0.4424557546
206	0.4424150201
207	0.442226714
208	0.4422080542
209	0.442134768
210	0.4418931956
211	0.4417873283
212	0.4416226179
213	0.4414384385
214	0.4413543813
215	0.4411267621
216	0.4410368956
217	0.4408375637
218	0.4406274386
219	0.4405849677
220	0.4404999295
221	0.4403102996
222	0.4402694243
223	0.4401041548
224	0.4399419957
225	0.4397734824
226	0.4396715253
227	0.4395360012
228	0.4395145983
229	0.4392666717
230	0.43916696
231	0.4391539448
232	0.4390101249
233	0.4388064093
234	0.438797792
235	0.4386111553
236	0.438366854
237	0.4381686459
238	0.4379831928
239	0.4377647391
240	0.4375615068
241	0.4374592583
242	0.4374510489
243	0.4373439582
244	0.4371739647
245	0.4370716787
246	0.4369449818
247	0.4367725475
248	0.4365458316
249	0.43635078
250	0.4362760326
251	0.4361467805
252	0.4360077974
253	0.4358389734
254	0.4357203886
255	0.4357026689
256	0.4355336912
257	0.4354819972
258	0.4353772992
259	0.4352734435
260	0.4351397944
261	0.4349721673
262	0.4348775348
263	0.4346295581
264	0.4344609673
265	0.4343549294
266	0.434190859
267	0.4339886852
268	0.4338596937
269	0.4338542254
270	0.4337939006
271	0.4336792664
272	0.4335110023
273	0.4333351508
274	0.4332218352
275	0.4330788547
276	0.4328669196
277	0.4327450898
278	0.4325963639
279	0.4324723465
280	0.4322617757
281	0.4320900628
282	0.431936471
283	0.4318449063
284	0.4316256308
285	0.4314890389
286	0.431439436
287	0.4312794187
288	0.4311943182
289	0.4310293767
290	0.4309746451
291	0.4308917146
292	0.4308399102
293	0.4307372516
294	0.4305442955
295	0.430343953
296	0.4302048034
297	0.4300621614
298	0.4299180777
299	0.4298551757
300	0.4297577047
301	0.4296169355
302	0.4294811111
303	0.4294019117
304	0.429264319
305	0.4290974989
306	0.4289826224
307	0.428841608
308	0.4288259985
309	0.428669919
310	0.4285105993
311	0.428310922
312	0.4281848197
313	0.4281188491
314	0.4279334467
315	0.4279039975
316	0.4277521157
317	0.4276312048
318	0.4274924474
319	0.4273300595
320	0.4272600007
321	0.4271380661
322	0.4269495915
323	0.4267997733
324	0.4266819896
325	0.426491254
326	0.4262555609
327	0.4261514158
328	0.4260545996
329	0.4258672673
330	0.4257552032
331	0.425570462
332	0.425511339
333	0.4254096774
334	0.4252501355
335	0.4251268337
336	0.4250138467
337	0.4248976171
338	0.4248146262
339	0.4246599881
340	0.4245144046
341	0.4244298332
342	0.4242380012
343	0.4240598015
344	0.4239378832
345	0.4237613907
346	0.4236279735
347	0.4234159076
348	0.4233146791
349	0.4232110181
350	0.4232039821
351	0.4230755109
352	0.4229368499
353	0.4228300181
354	0.422730175
355	0.4226003878
356	0.4224116782
357	0.4223918859
358	0.4222258014
359	0.4220171299
360	0.421905729
361	0.421773019
362	0.4216637061
363	0.4215722582
364	0.4214757428
365	0.4214087516
366	0.4212176899
367	0.4210820818
368	0.4209367424
369	0.4207868642
370	0.4206323973
371	0.4205133812
372	0.4203322193
373	0.4201911027
374	0.4200611699
375	0.4199718696
376	0.419774433
377	0.4197421581
378	0.4195796006
379	0.4195317641
380	0.4194212363
381	0.4193609451
382	0.4192200987
383	0.4191402466
384	0.4190190456
385	0.4188675537
386	0.4187500163
387	0.4185848277
388	0.4185517077
389	0.4183717991
390	0.4183630489
391	0.4181990891
392	0.4181009655
393	0.4180716309
394	0.4178654814
395	0.4178245037
396	0.4177276108
397	0.4176137442
398	0.4174596489
399	0.4173266665
400	0.4172753499
401	0.4171920423
402	0.4170586622
403	0.416894863
404	0.4168510516
405	0.4167147188
406	0.4166104241
407	0.4164792749
408	0.4163179801
409	0.4162449349
410	0.416160889
411	0.4160007359
412	0.4158497862
413	0.4157724028
414	0.415687529
415	0.4156612887
416	0.4155568244
417	0.4154469592
418	0.4152684052
419	0.4151073585
420	0.4150998731
421	0.4150568781
422	0.4149362573
423	0.4149291654
424	0.414750616
425	0.4146714396
426	0.4146648071
427	0.4145040004
428	0.4144025286
429	0.4142744255
430	0.4141403663
431	0.413977339
432	0.4138619741
433	0.413819141
434	0.4136909877
435	0.4135353064
436	0.4134237442
437	0.4132981934
438	0.4131933439
439	0.4130260074
440	0.4129286579
441	0.4128380859
442	0.4126728104
443	0.4125799858
444	0.4124643813
445	0.4122414615
446	0.4121573524
447	0.4120011891
448	0.4119175008
449	0.4118232649
450	0.4117241115
451	0.4116346447
452	0.4114517349
453	0.4114132504
454	0.4113588727
455	0.4112320847
456	0.4110522881
457	0.4108833491
458	0.4107305774
459	0.4105830667
460	0.4104677638
461	0.4104304845
462	0.4103289146
463	0.410216711
464	0.4101038979
465	0.4099527411
466	0.4098681302
467	0.4096755669
468	0.4095521215
469	0.4094264567
470	0.4093351604
471	0.4092156549
472	0.4091194702
473	0.4089510984
474	0.4088419726
475	0.4087934698
476	0.40871427
477	0.4086188099
478	0.4084855676
479	0.4083425974
480	0.4082116739
481	0.4080605115
482	0.4079735149
483	0.4078188121
484	0.4077003685
485	0.4076147202
486	0.4074879675
487	0.407326438
488	0.4072016648
489	0.4070608675
490	0.4069859615
491	0.4068203963
492	0.4067129517
493	0.4066332486
494	0.406456293
495	0.4063286563
496	0.4062072741
497	0.4060537697
498	0.4059377174
499	0.4058741082
500	0.4057503039
501	0.405633225
502	0.4055093667
503	0.4053668458
504	0.4052144641
505	0.4051317374
506	0.4050092986
507	0.4048946164
508	0.4047476456
509	0.404676
510	0.4045417551
511	0.4044855015
512	0.4043804413
513	0.404222849
514	0.404121298
515	0.4040251326
516	0.4038133593
517	0.4036431006
518	0.4036389306
519	0.4034548856
520	0.4032354509
521	0.4030954052
522	0.4029966688
523	0.4028394728
524	0.4027060305
525	0.402625272
526	0.402532596
527	0.4024298136
528	0.4024098978
529	0.4024060908
530	0.4023573442
531	0.4021924496
532	0.402145255
533	0.4021129267
534	0.4019663597
535	0.4019110798
536	0.4017473263
537	0.4016033458
538	0.4015314201
539	0.4013664984
540	0.4012338802
541	0.4010751607
542	0.4009771416
543	0.4008258861
544	0.4006751994
545	0.4006451172
546	0.4005562978
547	0.4004188238
548	0.4003356348
549	0.4001958512
550	0.400144097
551	0.4001303903
552	0.4000687453
553	0.3998895489
554	0.3997402153
555	0.3995872096
556	0.3995312257
557	0.3994425544
558	0.3992735606
559	0.3991980989
560	0.3990576798
561	0.3989696753
562	0.3988119044
563	0.3987498245
564	0.3986408588
565	0.3986376046
566	0.3985086985
567	0.3983635216
568	0.3982286495
569	0.3980623914
570	0.3979770531
571	0.3979255138
572	0.397789471
573	0.397669373
574	0.3976580381
575	0.3975774913
576	0.3974648665
577	0.3973620667
578	0.3973019462
579	0.3971713387
580	0.397106749
581	0.3970131732
582	0.3969618135
583	0.3968544399
584	0.3967639641
585	0.396631218
586	0.3964795058
587	0.3963324006
588	0.3961693109
589	0.3960380137
590	0.3959201193
591	0.395811972
592	0.395704004
593	0.3956570005
594	0.3956037397
595	0.395495474
596	0.3954717906
597	0.3953882587
598	0.3953237276
599	0.3951750759
600	0.3950445057
601	0.3949160427
602	0.394802643
603	0.3946978905
604	0.3946044875
605	0.3945774056
606	0.394468703
607	0.3943786543
608	0.3942646127
609	0.3941656565
610	0.3940361381
611	0.3939685062
612	0.3939238221
613	0.3937950092
614	0.393762709
615	0.393663181
616	0.3935598075
617	0.3933505846
618	0.3932164863
619	0.3931040694
620	0.393035142
621	0.3929783106
622	0.3927950054
623	0.3926691054
624	0.392563657
625	0.392466824
626	0.392392155
627	0.392284253
628	0.3921509027
629	0.3920708089
630	0.3920040199
631	0.3918442798
632	0.391713783
633	0.3915849391
634	0.3914874726
635	0.3913433796
636	0.3912028385
637	0.3911050784
638	0.391070636
639	0.3909386384
640	0.3907500687
641	0.3907088124
642	0.3906644325
643	0.3905493651
644	0.3904705646
645	0.3903826932
646	0.3902471994
647	0.3902441999
648	0.3901306616
649	0.3900244682
650	0.38991804
651	0.3897777119
652	0.3896614068
653	0.3895093278
654	0.389419118
655	0.3893235099
656	0.3892119918
657	0.3890750149
658	0.3889929946
659	0.3888960492
660	0.388818599
661	0.3886990713
662	0.3885947874
663	0.3884772602
664	0.3884308184
665	0.3884265218
666	0.3882741814
667	0.3882234881
668	0.3881065908
669	0.3880146659
670	0.387933547
671	0.3878124497
672	0.3876645083
673	0.3876201598
674	0.3875620726
675	0.3874617891
676	0.3873488784
677	0.3872106141
678	0.3871297968
679	0.3870391385
680	0.3868961928
681	0.3867598413
682	0.3866945887
683	0.3865240973
684	0.386439604
685	0.3863662376
686	0.3862620912
687	0.386184305
688	0.3860681159
689	0.3859917212
690	0.3858823479
691	0.3858219872
692	0.3857272931
693	0.3855979031
694	0.3855929968
695	0.38547064
696	0.3854131671
697	0.3852919827
698	0.3851642356
699	0.3851103508
700	0.3850186452
701	0.3849287379
702	0.3848068997
703	0.3846985459
704	0.3846215072
705	0.3844900654
706	0.3844038786
707	0.3842385146
708	0.3841754111
709	0.3840717451
710	0.3840089101
711	0.3839435116
712	0.3838190421
713	0.3837096151
714	0.3835416057
715	0.3834411678
716	0.3833570782
717	0.3832520151
718	0.3831700938
719	0.3830882319
720	0.3829176763
721	0.3828188314
722	0.3827286038
723	0.3826392336
724	0.3826119805
725	0.3825739183
726	0.3825030027
727	0.3824998998
728	0.3823893331
729	0.3823240382
730	0.3822221044
731	0.3821452068
732	0.3820275446
733	0.3818807352
734	0.3818468475
735	0.3817419713
736	0.3816229216
737	0.3815324584
738	0.3814486973
739	0.3813695127
740	0.381274088
741	0.3812512639
742	0.3811553289
743	0.3811090064
744	0.3810313942
745	0.3809389373
746	0.3808486882
747	0.3808461751
748	0.3807821552
749	0.3806932242
750	0.38058403
751	0.3804822052
752	0.3803809272
753	0.3803350395
754	0.3802366944
755	0.3801136251
756	0.3800534064
757	0.3799422364
758	0.3798874613
759	0.379824426
760	0.3796838911
761	0.3795815998
762	0.379458022
763	0.3794139759
764	0.3792774052
765	0.3792315161
766	0.379199245
767	0.3791103266
768	0.3789951849
769	0.3788995108
770	0.3788030318
771	0.378688393
772	0.3786235222
773	0.378595903
774	0.3784728498
775	0.378470694
776	0.3783898242
777	0.3783046767
778	0.3782081874
779	0.3781193629
780	0.3780646737
781	0.3779504033
782	0.3778825533
783	0.377820778
784	0.3777424387
785	0.3775940826
786	0.3774873
787	0.3773936268
788	0.3773743988
789	0.377300879
790	0.3771927573
791	0.377128695
792	0.3770734821
793	0.3769724372
794	0.3768291354
795	0.3768263039
796	0.3767638006
797	0.3766728138
798	0.3765761278
799	0.3765203844
800	0.376433307
801	0.3763743767
802	0.3762922617
803	0.3762039957
804	0.3761179709
805	0.3760069289
806	0.3759016107
807	0.375815902
808	0.3757180667
809	0.3755936453
810	0.3754371305
811	0.3753781354
812	0.3753685046
813	0.3752839395
814	0.3752330277
815	0.375118451
816	0.3750342213
